Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,63,48,46,51,60,60,62,48,41,43,29,28
Baja California,58,66,64,47,73,64,66,72,61,63,38,46
Baja California Sur,30,22,34,26,39,33,43,33,21,31,26,20
Campeche,20,23,27,48,31,29,23,28,32,37,15,33
Coahuila,110,112,121,102,171,137,136,65,92,82,63,61
Colima,21,20,24,25,34,37,42,37,22,42,26,29
Chiapas,80,92,100,101,124,94,121,61,77,84,61,40
Chihuahua,143,121,123,123,163,149,152,124,112,118,72,85
Distrito Federal,563,491,494,571,721,543,734,548,546,598,432,435
Durango,98,91,85,95,120,132,133,106,82,144,97,75
Guanajuato,307,247,248,270,350,289,358,315,250,289,193,185
Guerrero,83,66,84,100,124,112,107,86,85,147,97,60
H idalgo,159,159,168,165,214,178,214,145,138,159,126,89
Jalisco,271,279,256,250,355,271,454,356,288,341,234,257
M ‚xico,793,705,673,759,932,725,989,762,683,789,496,487
M ichoac n,218,197,171,224,257,230,286,210,203,256,200,175
M orelos,55,66,59,66,81,46,63,71,63,56,44,44
Nayarit,60,62,30,45,64,40,54,50,45,50,48,33
Nuevo L e¢n,150,149,154,171,284,227,256,186,170,213,143,125
Oaxaca,194,178,129,180,200,152,188,153,172,201,154,131
Puebla,202,234,206,223,301,246,270,198,263,265,177,162
Quer‚taro,61,49,64,57,88,63,103,83,65,84,48,56
Quintana Roo,99,84,57,85,79,76,112,81,75,69,72,84
San Luis Potos¡,172,153,185,172,264,201,192,161,183,205,157,135
Sinaloa,88,67,69,78,95,87,109,65,87,92,42,76
Sonora,155,128,152,174,220,201,195,154,143,146,110,96
T abasco,49,37,33,38,57,35,38,36,38,47,33,19
T amaulipas,148,129,107,129,188,151,168,117,91,123,84,75
Tlaxcala,43,40,43,37,50,30,51,53,50,50,44,31
Veracruz,295,247,234,268,319,271,349,278,208,272,221,182
Yucat n,91,83,95,100,92,131,122,102,112,151,86,95
Z acatecas,39,44,51,72,89,81,87,52,55,70,64,43
