Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,19,32,54,48,41,52,45,49,37,34,37,28
Baja California,55,59,107,83,70,78,75,91,66,75,71,42
Baja California Sur,23,35,40,28,39,42,42,50,24,20,29,22
Campeche,33,36,71,36,42,54,44,51,46,37,50,38
Coahuila,52,78,112,109,115,136,98,134,97,101,81,82
Colima,24,31,38,25,35,32,16,50,33,31,30,17
Chiapas,106,134,206,140,123,138,99,144,112,133,136,86
Chihuahua,145,199,272,221,223,315,272,265,174,139,191,204
Distrito Federal,797,896,1278,952,982,1171,982,1111,784,805,921,571
Durango,105,128,177,112,139,178,100,213,130,114,136,61
Guanajuato,164,240,397,273,282,372,310,365,239,261,291,207
Guerrero,170,153,240,207,257,289,201,233,164,175,191,115
Hidalgo,180,215,348,223,241,279,220,304,213,207,232,138
Jalisco,377,406,557,438,415,547,353,431,345,366,402,315
M‚xico,796,795,1224,913,971,1157,965,1048,817,810,896,457
Michoac n,155,154,248,179,192,267,209,267,210,209,233,138
Morelos,88,69,134,101,103,140,110,144,96,98,103,80
Nayarit,29,45,52,52,42,54,51,56,42,46,50,25
Nuevo Le¢n,167,186,246,218,248,262,230,235,187,224,219,120
Oaxaca,129,152,247,182,190,268,152,236,175,183,194,116
Puebla,351,412,600,495,502,617,478,684,509,520,487,336
Quer‚taro,70,62,102,77,96,115,83,108,83,84,75,59
Quintana Roo,70,70,99,80,98,135,78,117,92,104,97,73
San Luis Potos¡,164,174,265,206,203,277,213,245,196,196,196,111
Sinaloa,68,49,101,65,86,114,76,92,91,68,74,72
Sonora,69,46,154,90,95,43,54,64,13,14,18,14
Tabasco,112,78,133,81,75,115,50,83,67,65,93,42
Tamaulipas,111,133,208,129,127,182,140,155,122,118,176,60
Tlaxcala,66,71,145,78,100,111,98,107,71,80,88,54
Veracruz,323,367,535,381,423,466,360,405,336,321,320,205
Yucat n,72,112,145,115,131,167,91,197,120,144,151,86
Zacatecas,49,51,91,54,52,73,73,91,50,47,50,34
