Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,39,36,49,39,62,50,54,46,46,40,28,33
Baja California,84,93,82,87,96,95,98,57,84,63,40,24
Baja California Sur,26,28,34,29,49,41,51,43,54,40,18,27
Campeche,25,25,22,27,44,25,38,19,19,25,19,10
Coahuila,93,93,113,101,145,94,128,93,115,141,89,70
Colima,18,19,15,25,36,25,32,27,20,28,19,16
Chiapas,69,68,86,61,118,88,112,64,70,100,62,52
Chihuahua,134,109,110,129,170,138,123,101,114,136,103,64
Distrito Federal,479,370,430,431,582,437,562,443,478,548,305,315
Durango,82,79,78,69,96,88,91,70,72,92,63,54
Guanajuato,218,205,216,229,272,236,290,208,201,236,184,128
Guerrero,112,135,114,147,176,169,205,176,117,127,85,77
Hidalgo,136,146,185,141,174,162,171,133,141,179,103,85
Jalisco,255,235,241,275,343,252,314,245,208,285,176,134
M‚xico,654,553,626,573,760,654,779,628,638,797,581,397
Michoac n,172,145,183,152,266,164,242,160,194,209,144,100
Morelos,63,44,55,45,64,44,42,49,47,56,33,29
Nayarit,47,25,40,52,52,38,52,27,37,31,36,20
Nuevo Le¢n,199,163,172,196,238,207,209,175,119,157,126,101
Oaxaca,191,167,181,200,277,207,229,144,167,206,140,135
Puebla,278,282,287,244,365,285,292,248,269,276,208,151
Quer‚taro,45,52,57,55,72,72,64,63,47,75,32,41
Quintana Roo,52,83,63,60,84,50,83,57,50,60,41,30
San Luis Potos¡,157,164,191,150,219,187,209,190,147,201,143,98
Sinaloa,84,80,71,97,125,93,118,79,74,69,74,38
Sonora,131,119,118,115,166,143,184,149,117,124,98,77
Tabasco,41,25,35,44,57,38,34,23,24,38,18,16
Tamaulipas,130,109,109,137,159,164,192,128,101,148,100,65
Tlaxcala,30,30,49,34,43,38,39,43,53,49,34,21
Veracruz,286,279,299,255,310,270,294,231,253,263,187,181
Yucat n,94,75,71,74,121,92,123,76,85,107,70,47
Zacatecas,41,39,44,43,66,39,62,53,46,60,26,31
