Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,80,60,98,101,92,105,104,127,116,93,83,91
Baja California,129,129,210,129,159,223,206,227,177,187,189,130
Baja California Sur,31,48,70,59,62,63,54,86,71,51,55,31
Campeche,72,75,93,70,69,79,68,83,68,43,77,56
Coahuila,172,157,261,225,247,309,237,231,175,208,203,150
Colima,67,45,78,53,48,82,48,56,59,48,60,22
Chiapas,161,146,212,174,145,228,154,155,148,143,136,105
Chihuahua,267,264,349,258,250,399,386,400,273,254,275,149
Distrito Federal,838,803,1 210,978,982,1 126,983,1 145,882,855,975,734
Durango,123,135,257,173,200,247,222,242,161,158,165,98
Guanajuato,336,397,532,466,434,555,445,565,481,460,498,383
Guerrero,190,210,358,243,275,350,241,272,201,190,241,171
Hidalgo,178,226,410,273,327,409,307,366,263,264,307,200
Jalisco,460,475,685,676,590,737,599,663,528,496,555,513
M‚xico,990,1 004,1 518,1 143,1 180,1 495,1 237,1 511,1 099,1 022,1 341,847
Michoac n,271,333,453,336,323,433,333,431,397,300,387,260
Morelos,92,111,138,139,107,130,143,170,108,101,134,89
Nayarit,73,90,79,62,97,109,106,124,78,77,160,112
Nuevo Le¢n,277,318,428,349,386,509,520,554,410,389,454,266
Oaxaca,259,330,575,334,349,445,355,413,383,308,382,276
Puebla,413,568,759,504,543,642,526,702,527,538,610,364
Quer‚taro,66,86,131,125,110,120,91,146,123,90,106,83
Quintana Roo,149,118,156,132,109,131,120,126,117,107,141,90
San Luis Potos¡,299,299,451,337,285,404,322,429,345,347,323,265
Sinaloa,115,168,159,155,183,269,191,202,176,188,157,118
Sonora,168,226,400,267,299,398,345,352,252,244,287,185
Tabasco,82,86,119,74,83,84,68,104,71,59,90,76
Tamaulipas,154,142,288,251,244,324,246,349,209,200,227,155
Tlaxcala,57,60,84,59,79,70,81,114,88,62,90,69
Veracruz,332,447,652,571,540,626,474,539,355,415,552,372
Yucat n,173,218,304,204,218,264,186,235,180,185,213,195
Zacatecas,64,84,138,73,109,130,115,113,77,93,96,89
