Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,90,73,56,61,63,66,98,77,46,64,36,47
Baja California,189,164,134,182,140,172,218,159,161,158,115,104
Baja California Sur,25,45,51,58,59,57,72,79,63,84,35,46
Campeche,81,66,71,82,75,76,94,61,61,74,79,43
Coahuila,181,205,213,191,228,204,235,197,131,198,119,128
Colima,46,35,29,40,49,40,43,26,45,39,26,24
Chiapas,227,230,232,197,189,185,245,135,163,184,146,90
Chihuahua,252,229,246,314,262,280,303,225,205,205,224,257
Distrito Federal,1263,1140,1254,1442,1211,1228,1379,1078,1064,1206,894,863
Durango,197,214,208,283,261,248,261,213,187,248,245,110
Guanajuato,481,425,600,625,525,511,579,462,412,432,318,319
Guerrero,309,289,318,408,284,340,371,294,315,363,246,211
Hidalgo,305,365,399,470,353,294,406,394,338,346,276,192
Jalisco,459,439,526,610,457,488,600,480,479,493,381,349
M‚xico,1447,1307,1341,1559,1356,1388,1572,1207,1294,1435,1056,890
Michoac n,354,325,325,438,352,327,421,367,391,400,315,229
Morelos,171,115,150,178,156,148,160,165,156,125,122,92
Nayarit,96,101,77,104,73,91,101,89,86,102,55,74
Nuevo Le¢n,322,363,369,435,335,310,416,316,337,372,268,220
Oaxaca,372,347,401,535,359,367,472,315,330,431,259,273
Puebla,757,737,760,943,807,766,935,753,812,849,603,523
Quer‚taro,96,102,104,122,100,120,117,112,94,107,68,79
Quintana Roo,118,118,121,119,103,148,147,146,136,133,89,106
San Luis Potos¡,253,289,339,364,328,353,396,267,292,357,254,257
Sinaloa,131,127,108,155,146,164,209,133,154,165,94,82
Sonora,167,224,246,301,272,258,381,242,241,241,184,166
Tabasco,98,112,107,143,125,134,140,121,99,110,99,69
Tamaulipas,227,250,255,320,272,296,398,208,257,300,149,136
Tlaxcala,126,101,114,145,120,124,140,115,129,121,89,91
Veracruz,592,618,715,794,683,744,819,527,563,620,470,389
Yucat n,255,183,188,245,186,206,212,195,225,220,144,125
Zacatecas,102,76,114,122,127,104,139,99,113,97,77,67
