Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,58,48,63,93,54,74,89,69,83,51,64,81
Baja California,130,170,140,220,196,209,230,169,220,154,145,195
Baja California Sur,49,34,47,70,75,78,71,55,57,45,38,45
Campeche,86,75,57,116,62,64,88,50,71,76,60,66
Coahuila,123,148,159,252,175,206,230,141,177,158,163,194
Colima,34,22,29,61,55,55,54,36,40,31,42,58
Chiapas,162,178,174,277,212,164,196,158,202,143,126,133
Chihuahua,271,269,282,493,449,368,474,363,393,307,315,322
Distrito Federal,878,1024,1097,1517,1014,1083,1277,1045,1196,924,883,1149
Durango,169,172,147,257,176,226,262,183,229,152,133,118
Guanajuato,342,367,431,636,488,433,584,474,497,357,317,420
Guerrero,189,332,254,410,305,269,356,262,329,284,258,302
Hidalgo,246,309,351,495,370,319,436,280,396,265,288,294
Jalisco,384,436,485,693,519,523,630,484,512,486,357,465
M‚xico,1139,1162,1235,1888,1241,1285,1561,1245,1451,1143,946,1259
Michoac n,272,341,325,455,389,319,419,325,412,295,265,364
Morelos,110,142,110,177,143,139,161,109,129,140,106,161
Nayarit,73,78,83,100,83,76,105,83,86,85,81,108
Nuevo Le¢n,205,271,301,447,363,393,419,337,376,323,292,348
Oaxaca,312,355,397,549,402,337,404,303,445,328,305,390
Puebla,583,635,679,1005,764,682,902,647,819,637,523,683
Quer‚taro,68,111,86,136,113,99,125,113,133,96,97,114
Quintana Roo,132,138,122,173,119,113,161,97,121,78,83,106
San Luis Potos¡,236,253,313,447,321,322,373,316,347,325,239,346
Sinaloa,109,115,143,193,138,174,204,141,166,129,137,171
Sonora,225,226,217,367,254,298,372,234,296,235,201,257
Tabasco,71,128,118,164,97,101,99,74,104,103,85,92
Tamaulipas,142,190,213,308,357,265,271,265,261,201,162,186
Tlaxcala,78,94,102,135,98,118,120,102,132,105,90,108
Veracruz,492,586,555,851,650,552,653,610,572,494,416,504
Yucat n,157,166,205,284,211,190,216,154,185,163,143,202
Zacatecas,75,68,92,120,80,96,112,99,111,85,77,81
