Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,83,55,67,81,94,135,138,118,73,112,56,88
Baja California,149,159,197,203,162,151,225,119,133,180,117,146
Baja California Sur,45,58,67,74,56,76,89,75,40,95,42,70
Campeche,61,71,65,82,64,67,122,59,56,78,77,76
Coahuila,204,238,182,307,254,245,265,133,198,249,161,199
Colima,91,58,74,82,72,71,89,69,47,65,49,55
Chiapas,187,138,203,264,232,177,170,130,118,230,138,119
Chihuahua,204,213,168,223,228,254,282,268,189,204,148,166
Distrito Federal,1 167,1 021,1 087,1 325,1 101,1 133,1 418,1 156,1 131,1 457,992,1 032
Durango,188,194,185,219,232,195,280,176,164,210,141,133
Guanajuato,501,475,564,639,461,543,582,473,451,539,384,443
Guerrero,227,206,225,290,241,214,276,210,219,337,231,195
Hidalgo,238,286,293,373,326,294,395,347,318,375,298,302
Jalisco,592,547,623,730,613,652,763,638,606,734,513,563
M‚xico,1 464,1 298,1 397,1 706,1 503,1 461,1 816,1 309,1 289,1 586,1 169,974
Michoac n,396,337,382,441,355,395,402,338,333,415,308,416
Morelos,117,116,123,159,120,136,184,151,100,142,101,139
Nayarit,73,75,93,115,93,85,130,112,82,72,43,52
Nuevo Le¢n,331,333,355,460,513,459,567,403,347,509,294,284
Oaxaca,345,329,341,367,337,330,418,307,321,433,316,342
Puebla,559,539,523,698,597,560,659,493,509,679,428,444
Quer‚taro,148,150,138,167,156,152,171,142,154,144,91,156
Quintana Roo,145,129,102,155,172,193,218,172,183,169,141,134
San Luis Potos¡,334,313,332,419,389,413,473,338,351,414,282,337
Sinaloa,175,124,142,167,150,177,189,158,143,154,114,146
Sonora,239,238,244,299,288,355,329,243,238,267,371,219
Tabasco,63,66,97,108,102,106,125,72,87,80,67,121
Tamaulipas,196,194,279,326,304,309,400,264,234,269,175,161
Tlaxcala,92,77,104,103,81,118,102,97,74,98,56,71
Veracruz,581,526,495,613,538,547,598,464,423,550,417,391
Yucat n,241,230,207,256,224,245,268,201,208,288,203,195
Zacatecas,114,97,113,111,102,104,128,114,85,154,84,84
