Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,80,64,51,66,89,74,76,75,59,73,35,53
Baja California,176,173,145,171,198,210,206,209,207,243,176,126
Baja California Sur,53,56,56,63,58,78,50,83,58,56,33,40
Campeche,100,61,85,77,107,67,84,112,59,94,55,62
Coahuila,171,143,165,173,246,257,147,207,191,184,144,163
Colima,37,32,49,40,57,63,44,48,24,56,25,31
Chiapas,292,268,283,226,361,246,206,321,419,377,181,135
Chihuahua,261,252,264,350,455,383,264,364,293,291,226,244
Distrito Federal,1447,1281,1339,1380,1832,1447,1337,1533,1261,1459,992,866
Durango,268,239,176,238,300,267,247,290,165,246,201,127
Guanajuato,577,461,598,498,721,539,493,681,574,657,447,433
Guerrero,311,266,357,335,458,351,306,401,327,438,314,214
Hidalgo,390,378,464,419,589,443,351,484,341,441,277,202
Jalisco,643,546,617,576,668,540,579,613,601,648,490,338
M‚xico,1716,1459,1528,1538,2240,1745,1533,1805,1512,1711,1213,972
Michoac n,406,354,432,403,442,384,346,492,390,471,351,221
Morelos,126,134,151,149,183,173,169,173,176,168,127,79
Nayarit,72,70,65,86,87,82,56,96,69,99,56,46
Nuevo Le¢n,365,368,404,371,427,429,395,589,386,475,308,220
Oaxaca,432,445,415,429,633,475,382,549,373,467,292,301
Puebla,850,837,857,879,1206,792,834,1070,919,990,649,625
Quer‚taro,108,113,150,142,187,132,105,127,126,133,85,79
Quintana Roo,169,130,154,125,213,151,157,157,134,130,109,95
San Luis Potos¡,286,229,321,346,420,288,261,387,243,332,227,183
Sinaloa,113,153,162,150,203,180,151,175,178,178,123,106
Sonora,251,235,289,267,345,316,327,306,210,225,197,128
Tabasco,124,131,141,157,155,152,101,153,130,152,104,76
Tamaulipas,283,215,295,313,427,293,269,363,244,285,190,119
Tlaxcala,141,120,122,133,191,149,117,196,132,112,97,80
Veracruz,782,719,859,861,999,703,675,830,613,746,506,504
Yucat n,278,227,239,229,352,296,222,288,219,258,183,169
Zacatecas,97,90,125,97,123,117,91,120,98,114,97,50
