Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,58,56,74,75,80,89,61,99,79,56,56,50
Baja California,129,91,143,119,171,115,147,211,132,175,180,119
Baja California Sur,29,44,51,47,63,76,67,58,55,61,47,56
Campeche,63,92,123,74,109,84,70,89,62,83,118,76
Coahuila,121,127,194,127,224,156,177,162,114,138,171,122
Colima,33,44,51,63,55,71,62,71,53,72,55,36
Chiapas,201,286,375,271,301,286,184,219,167,199,224,172
Chihuahua,250,339,357,294,435,374,348,417,336,278,340,245
Distrito Federal,1372,1465,1922,1671,1969,1484,1542,1731,1356,1275,1499,1012
Durango,196,191,255,223,295,234,257,319,210,257,253,104
Guanajuato,392,482,630,539,599,545,445,605,472,449,494,350
Guerrero,249,341,429,381,450,347,344,422,314,318,367,250
Hidalgo,304,373,536,404,496,364,339,467,360,350,418,286
Jalisco,584,594,715,642,763,531,664,646,510,473,588,378
M‰xico,1513,1463,1906,1655,1966,1695,1521,1802,1309,1256,1452,912
Michoacæn,326,313,413,342,496,407,326,438,440,398,386,276
Morelos,165,153,210,176,197,173,170,195,168,197,148,120
Nayarit,70,56,99,85,117,90,82,80,77,68,81,53
Nuevo Le¢n,221,236,460,315,476,422,374,448,389,330,339,278
Oaxaca,281,344,488,426,515,389,333,458,311,351,424,288
Puebla,781,863,1138,998,1190,914,857,1062,862,798,899,661
Quer‰taro,103,120,132,116,159,131,117,124,116,96,112,86
Quintana Roo,114,135,204,116,172,159,147,152,115,157,170,103
San Luis Potosç,277,258,444,334,418,347,351,403,324,319,319,238
Sinaloa,112,103,174,164,236,193,182,224,154,139,168,121
Sonora,62,68,128,99,167,141,156,268,208,222,226,179
Tabasco,111,127,180,138,147,123,153,182,128,119,128,85
Tamaulipas,207,238,238,252,355,342,264,305,298,244,300,150
Tlaxcala,106,151,209,171,183,160,172,222,134,141,140,84
Veracruz,526,662,889,743,995,729,658,774,682,595,670,433
Yucatæn,221,229,344,299,314,226,202,279,250,239,240,133
Zacatecas,95,86,100,89,121,85,90,124,224,118,106,83
