Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,4,144,254,204,93,102,204,26,57,17,45,0,1 150
Baja California,6,200,349,298,148,159,503,111,157,64,99,1,2 095
Baja California Sur,1,63,109,107,60,44,152,38,59,18,30,0,681
Campeche,1,83,129,117,66,69,218,35,78,13,44,0,853
Coahuila,10,312,568,374,209,158,492,93,166,62,131,0,2 575
Colima,3,70,109,100,57,47,167,27,44,14,28,0,666
Chiapas,3,148,318,262,186,149,436,99,131,56,119,0,1 907
Chihuahua,6,349,662,503,244,177,688,196,352,105,238,4,3 524
Distrito Federal,15,1 106,1 618,1 322,1 199,943,2 565,609,994,385,753,2,11 511
Durango,1,313,526,413,225,153,261,71,92,57,69,0,2 181
Guanajuato,11,652,1 097,924,445,371,1 046,202,332,133,339,0,5 552
Guerrero,3,215,486,423,251,220,580,145,198,94,324,3,2 942
Hidalgo,4,306,540,478,298,227,742,168,310,148,308,1,3 530
Jalisco,30,836,1 297,1 146,554,443,1 358,249,438,179,440,7,6 977
M‚xico,30,1 319,2 288,2 094,1 418,1 126,3 169,726,1 018,402,787,10,14 387
Michoac n,9,453,787,645,343,317,821,160,289,111,321,1,4 257
Morelos,2,169,257,209,122,96,267,79,88,40,127,6,1 462
Nayarit,3,163,221,170,97,71,204,39,90,22,87,0,1 167
Nuevo Le¢n,17,473,852,670,391,337,1 000,238,376,189,317,0,4 860
Oaxaca,10,280,683,579,341,277,829,227,384,189,609,1,4 409
Puebla,13,454,1 031,928,618,496,1 459,307,578,241,561,10,6 696
Quer‚taro,5,150,245,175,111,80,246,46,98,33,88,0,1 277
Quintana Roo,6,143,241,209,124,136,359,72,94,42,70,0,1 496
San Luis Potos¡,5,420,716,585,377,273,795,184,297,128,326,0,4 106
Sinaloa,7,203,352,261,152,131,444,107,201,74,149,0,2 081
Sonora,18,447,637,519,296,262,606,172,230,78,158,0,3 423
Tabasco,3,79,158,141,108,68,189,51,89,35,72,3,996
Tamaulipas,18,278,488,398,232,173,522,130,242,96,209,3,2 789
Tlaxcala,1,86,136,114,116,68,177,41,79,30,65,0,913
Veracruz,11,480,889,748,470,361,1 208,289,594,251,572,2,5 875
Yucat n,3,285,420,307,270,206,526,122,180,81,174,1,2 575
Zacatecas,2,142,255,186,85,72,214,47,66,26,86,0,1 181
