Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,2,104,190,134,64,52,125,18,29,21,38,0,777
Baja California,4,208,334,296,166,108,395,95,134,53,100,3,1 896
Baja California Sur,1,71,122,92,61,43,149,41,43,19,32,0,674
Campeche,0,75,119,122,79,73,218,46,53,18,58,2,863
Coahuila,6,266,496,403,176,140,402,72,132,36,99,2,2 230
Colima,0,59,82,53,38,33,84,11,40,14,28,0,442
Chiapas,2,148,369,340,213,158,488,115,175,67,146,2,2 223
Chihuahua,1,304,584,471,243,167,570,134,218,89,205,16,3 002
Distrito Federal,17,1 323,2 005,1 782,1 495,1 193,3 223,663,1 053,401,866,1,14 022
Durango,4,371,519,478,302,246,384,84,126,51,110,0,2 675
Guanajuato,8,639,1 184,896,475,334,1 080,190,357,133,388,5,5 689
Guerrero,8,306,716,599,256,219,721,174,256,148,342,3,3 748
Hidalgo,3,348,670,532,380,276,872,188,334,145,388,2,4 138
Jalisco,10,727,1 254,822,467,360,1 079,211,371,105,352,3,5 761
M‚xico,37,1 463,2 551,2 346,1 665,1 122,3 578,706,1 030,430,918,6,15 852
Michoac n,6,413,826,689,328,263,755,167,292,111,389,5,4 244
Morelos,0,160,323,274,154,91,331,73,131,68,131,2,1 738
Nayarit,6,143,212,134,78,57,182,54,77,24,82,0,1 049
Nuevo Le¢n,22,428,864,574,361,258,795,173,273,118,196,1,4 063
Oaxaca,8,250,699,558,342,218,918,236,423,203,603,3,4 461
Puebla,14,764,1 425,1 273,956,679,1 936,430,678,331,751,8,9 245
Quer‚taro,5,114,219,166,97,95,274,39,82,38,92,0,1 221
Quintana Roo,5,151,248,217,127,144,340,86,90,32,41,3,1 484
San Luis Potos¡,24,370,697,534,339,222,710,129,242,132,350,0,3 749
Sinaloa,4,200,374,260,102,77,271,67,108,66,138,1,1 668
Sonora,10,433,618,439,215,159,504,122,179,81,163,0,2 923
Tabasco,0,104,192,194,122,113,331,63,113,45,80,0,1 357
Tamaulipas,12,302,603,480,241,204,603,123,206,95,196,3,3 068
Tlaxcala,4,160,211,211,129,103,288,62,91,30,126,0,1 415
Veracruz,13,583,1 264,1 090,617,490,1 561,347,631,283,652,3,7 534
Yucat n,2,210,401,370,249,186,506,96,154,64,145,1,2 384
Zacatecas,2,161,267,208,86,61,221,39,67,38,86,1,1 237
