Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,5,153,187,138,67,55,140,14,35,10,28,1,833
Baja California,3,219,336,285,135,126,340,57,82,46,101,2,1 732
Baja California Sur,4,66,140,104,56,35,141,27,42,17,22,0,654
Campeche,2,93,196,173,85,70,255,38,56,31,42,2,1 043
Coahuila,5,230,380,319,130,112,354,65,106,43,87,2,1 833
Colima,6,75,129,102,42,54,134,24,42,22,36,0,666
Chiapas,5,190,481,456,296,209,647,143,207,96,154,1,2 885
Chihuahua,8,445,884,699,300,217,704,147,225,120,245,19,4 013
Distrito Federal,35,1 810,2 497,2 445,1 942,1 522,4 271,855,1 347,487,1 079,8,18 298
Durango,1,504,643,467,203,180,374,107,115,68,131,1,2 794
Guanajuato,23,717,1 281,917,480,371,1 074,220,343,174,400,2,6 002
Guerrero,11,294,820,740,305,235,780,157,303,163,398,6,4 212
Hidalgo,5,383,778,662,408,301,990,223,350,195,400,2,4 697
Jalisco,39,948,1 424,1 089,526,476,1 311,244,436,152,433,10,7 088
M‚xico,34,1 734,3 199,2 943,1 852,1 301,4 068,811,1 070,522,910,6,18 450
Michoac n,8,479,926,764,355,261,756,185,310,109,407,1,4 561
Morelos,9,201,404,330,168,115,402,87,130,59,166,1,2 072
Nayarit,1,118,202,145,76,51,173,26,63,35,68,0,958
Nuevo Le¢n,27,508,935,611,389,278,784,181,246,119,205,5,4 288
Oaxaca,6,295,705,676,360,289,937,228,392,209,510,1,4 608
Puebla,22,935,1 818,1 753,1 048,848,2 323,491,637,326,809,13,11 023
Quer‚taro,7,174,270,211,122,106,263,53,93,40,73,0,1 412
Quintana Roo,6,155,337,294,146,144,426,55,87,29,61,4,1 744
San Luis Potos¡,14,401,741,689,352,232,742,157,256,119,321,8,4 032
Sinaloa,7,238,444,342,113,104,313,71,135,61,139,3,1 970
Sonora,9,266,399,268,112,99,318,101,140,76,135,1,1 924
Tabasco,2,134,242,265,153,139,391,75,91,36,93,0,1 621
Tamaulipas,12,332,620,539,238,183,609,142,241,84,190,3,3 193
Tlaxcala,1,145,304,287,208,133,369,77,138,55,155,1,1 873
Veracruz,14,661,1 423,1 234,706,511,1 762,380,683,308,667,7,8 356
Yucat n,6,270,520,449,332,229,600,105,204,70,190,1,2 976
Zacatecas,24,178,260,198,88,77,239,52,71,38,96,0,1 321
