Estado,Mayor.a.uno,Uno.a.Cuatro,Cinco.a.Nueve,Diez.a.Catorce,Quince.a.Diecinueve,Veinte.a.Veinticuatro,Veinticinco.a.Cuarentaycuatro,CuarentayCinco.a.Cuarentaynueve,Cincuenta.a.Cincuentaynueve,Sesenta.a.Sesentaycuatro,Mayor.a.Sesentaycinco,No.se.reporto.la.edad,Total
Aguascalientes,11,156,162,182,105,86,211,49,72,25,41,0,1 100
Baja California,7,194,253,233,144,124,489,115,171,72,135,4,1 941
Baja California Sur,0,67,111,112,46,62,217,44,63,23,42,0,787
Campeche,0,61,121,117,57,74,221,48,80,27,71,1,878
Coahuila,2,258,499,412,262,188,494,122,183,77,135,3,2 635
Colima,3,80,111,128,56,63,194,39,70,22,56,0,822
Chiapas,3,152,344,285,208,164,493,102,159,63,131,2,2 106
Chihuahua,7,271,446,363,151,146,512,149,216,84,201,1,2 547
Distrito Federal,27,1 175,1 830,1 559,1 385,1 196,3 273,775,1 276,531,981,12,14 020
Durango,8,211,434,341,202,166,445,144,201,59,106,0,2 317
Guanajuato,13,632,1 120,926,541,409,1 258,237,372,168,378,1,6 055
Guerrero,5,201,499,395,249,186,562,141,203,124,303,3,2 871
Hidalgo,6,311,533,477,329,256,875,210,359,151,336,2,3 845
Jalisco,25,776,1 304,1 037,631,571,1 668,306,522,221,508,5,7 574
M‚xico,31,1 326,2 302,2 412,1 784,1 498,3 858,897,1 327,526,1 004,7,16 972
Michoac n,23,422,779,619,385,365,932,188,312,147,344,2,4 518
Morelos,3,137,245,225,149,106,352,85,124,41,116,5,1 588
Nayarit,12,95,175,135,82,81,190,63,78,37,77,0,1 025
Nuevo Le¢n,15,430,784,646,420,331,1 040,272,405,178,322,12,4 855
Oaxaca,5,273,588,475,323,310,850,240,418,186,518,0,4 186
Puebla,12,453,868,844,651,582,1 551,367,581,223,553,3,6 688
Quer‚taro,4,168,252,237,167,141,419,79,121,57,124,0,1 769
Quintana Roo,4,176,255,230,158,187,550,110,135,44,63,1,1 913
San Luis Potos¡,4,367,710,639,352,344,891,198,368,138,384,0,4 395
Sinaloa,11,163,344,286,145,122,339,93,141,62,133,0,1 839
Sonora,10,374,625,474,253,208,607,129,221,81,172,176,3 330
Tabasco,3,97,156,139,71,82,228,60,121,46,89,2,1 094
Tamaulipas,15,290,451,423,251,206,679,190,253,107,246,0,3 111
Tlaxcala,1,73,159,148,96,73,223,55,106,46,93,0,1 073
Veracruz,5,444,908,725,500,419,1 330,364,627,235,584,2,6 143
Yucat n,7,294,405,350,249,232,584,116,211,110,207,1,2 766
Zacatecas,1,157,224,205,111,88,237,61,84,35,87,0,1 290
