Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,1,95,101,88,38,40,69,5,19,8,12,0,476
Baja California,8,94,195,167,73,53,160,27,42,21,32,0,872
Baja California Sur,1,45,78,74,23,31,91,15,15,13,8,0,394
Campeche,1,44,112,94,41,42,111,26,31,8,27,1,538
Coahuila,5,186,298,218,87,68,174,40,49,18,48,4,1195
Colima,1,46,71,76,27,18,65,10,21,11,14,2,362
Chiapas,4,108,296,269,113,141,332,86,86,38,82,2,1557
Chihuahua,9,327,612,512,183,124,472,78,118,60,124,1,2620
Distrito Federal,23,1084,1806,1693,1260,970,2473,425,652,291,571,2,11250
Durango,3,323,384,273,87,79,187,38,51,73,95,0,1593
Guanajuato,18,421,782,698,242,213,511,96,145,80,188,7,3401
Guerrero,7,215,519,502,186,118,382,69,132,81,180,4,2395
Hidalgo,1,285,547,502,234,156,463,100,187,110,214,1,2800
Jalisco,35,652,1028,862,400,345,877,154,235,98,265,1,4952
M‚xico,29,1098,2037,2052,1119,820,2005,386,563,236,501,3,10849
Michoac n,5,261,617,477,178,139,341,67,115,67,193,1,2461
Morelos,1,137,270,220,115,84,196,37,72,34,97,3,1266
Nayarit,4,71,132,107,37,24,78,15,24,13,39,0,544
Nuevo Le¢n,16,364,604,427,206,196,408,67,87,58,109,0,2542
Oaxaca,5,204,348,369,169,115,392,88,160,105,265,4,2224
Puebla,13,566,1043,1078,576,492,1101,222,335,153,410,2,5991
Quer‚taro,9,140,190,190,63,73,178,25,60,19,67,0,1014
Quintana Roo,10,152,206,195,62,92,247,37,50,16,43,3,1113
San Luis Potos¡,6,273,543,480,216,113,361,57,133,70,193,1,2446
Sinaloa,5,119,239,160,71,41,151,35,46,28,61,0,956
Sonora,12,140,148,137,40,24,83,16,28,11,35,0,674
Tabasco,1,85,186,186,106,76,176,34,46,34,64,0,994
Tamaulipas,16,222,374,313,110,118,263,47,67,33,95,3,1661
Tlaxcala,4,102,206,203,111,78,183,38,53,26,63,2,1069
Veracruz,17,453,875,803,343,265,766,152,276,142,348,2,4442
Yucat n,10,169,271,260,163,143,233,45,99,45,86,7,1531
Zacatecas,2,92,180,131,55,32,97,25,31,22,47,1,715
