Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,5,67,119,93,41,25,70,15,10,10,18,0,473
Baja California,4,130,292,190,96,67,257,45,62,26,61,0,1 230
Baja California Sur,0,37,84,58,35,33,103,15,20,13,16,0,414
Campeche,3,39,79,84,41,45,114,22,39,14,35,2,517
Coahuila,6,173,341,227,96,81,212,44,50,23,60,0,1 313
Colima,1,34,60,50,29,19,47,8,17,12,13,1,291
Chiapas,76,111,292,297,132,124,377,60,98,53,116,2,1 738
Chihuahua,4,261,492,401,150,123,414,85,113,44,110,4,2 201
Distrito Federal,22,930,1 490,1 382,1 001,785,2 009,350,588,236,609,0,9 402
Durango,4,296,395,284,151,113,189,55,71,42,75,0,1 675
Guanajuato,15,524,888,665,299,193,589,105,184,70,234,4,3 770
Guerrero,3,190,481,427,147,120,334,86,120,73,185,2,2 168
Hidalgo,3,243,470,442,211,150,431,100,203,114,243,1,2 611
Jalisco,22,568,907,694,332,282,793,96,189,86,257,0,4 226
M‚xico,22,1 067,1 960,1 848,1 109,747,1 924,354,554,274,495,2,10 356
Michoac n,14,294,618,465,205,147,380,80,133,77,205,1,2 619
Morelos,2,111,202,185,77,60,157,37,48,26,70,4,979
Nayarit,2,78,122,93,32,25,51,17,23,15,43,0,501
Nuevo Le¢n,14,322,529,495,254,209,470,115,124,50,123,0,2 705
Oaxaca,5,186,510,442,231,115,452,111,208,104,317,1,2 682
Puebla,11,526,1 023,1 030,551,419,1 037,190,346,151,429,3,5 716
Quer‚taro,2,90,192,137,78,41,174,32,43,18,41,0,848
Quintana Roo,4,111,185,178,72,92,228,30,42,19,29,0,990
San Luis Potos¡,4,206,392,339,165,117,319,76,123,63,158,0,1 962
Sinaloa,3,114,279,176,57,46,149,30,40,22,79,0,995
Sonora,2,246,462,337,135,96,268,71,86,36,90,1,1 830
Tabasco,2,87,166,178,70,68,173,28,59,30,63,0,924
Tamaulipas,2,209,391,300,131,92,290,54,80,39,100,1,1 689
Tlaxcala,1,101,168,140,85,51,124,25,40,21,66,0,822
Veracruz,11,447,898,823,369,272,748,157,318,170,375,7,4 595
Yucat n,5,150,301,257,168,139,292,74,107,34,128,0,1 655
Zacatecas,0,79,182,132,57,50,123,19,32,23,48,0,745
