Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,7,106,181,153,115,80,185,36,53,17,48,0,981
Baja California,7,139,205,142,100,66,269,84,130,45,65,1,1 253
Baja California Sur,4,61,99,83,56,46,142,43,56,17,22,0,629
Campeche,1,66,112,85,56,52,146,40,55,19,47,0,679
Coahuila,3,235,390,335,222,143,436,106,151,63,100,3,2 187
Colima,1,76,88,77,38,45,130,27,45,15,29,0,571
Chiapas,3,119,291,300,165,152,419,82,150,40,113,3,1 837
Chihuahua,7,213,492,411,188,132,543,142,228,72,188,1,2 617
Distrito Federal,28,1 035,1 695,1 475,1 152,1 007,2 679,672,1 018,391,737,28,11 917
Durango,0,226,411,353,217,176,366,109,152,48,96,0,2 154
Guanajuato,12,636,1 149,879,488,384,1 017,233,380,104,387,2,5 671
Guerrero,1,199,374,361,169,146,380,101,164,59,227,0,2 181
Hidalgo,3,275,531,443,317,251,822,195,307,131,357,0,3 632
Jalisco,38,723,1 114,794,571,418,1 199,259,377,141,384,3,6 021
M‚xico,27,1 434,2 332,2 257,1 746,1 333,3 766,813,1 228,465,895,7,16 303
Michoac n,14,490,840,640,389,313,882,206,277,138,323,1,4 513
Morelos,4,110,212,171,103,103,267,46,103,43,95,3,1 260
Nayarit,8,101,166,142,83,78,184,44,74,23,97,0,1 000
Nuevo Le¢n,5,357,579,466,301,267,872,196,294,111,271,54,3 773
Oaxaca,4,253,595,510,337,238,865,201,352,167,504,1,4 027
Puebla,7,378,720,683,506,414,1 151,276,418,180,481,2,5 216
Quer‚taro,2,144,225,203,163,96,330,69,125,38,79,0,1 474
Quintana Roo,2,150,273,268,165,160,416,99,142,43,72,1,1 791
San Luis Potos¡,6,347,685,578,338,221,774,181,289,115,356,0,3 890
Sinaloa,2,217,359,262,117,83,290,93,125,60,95,0,1 703
Sonora,11,365,640,480,278,231,538,212,194,75,164,4,3 192
Tabasco,3,53,114,109,57,59,188,53,89,35,67,0,827
Tamaulipas,9,257,436,386,218,187,617,144,277,103,221,4,2 859
Tlaxcala,3,80,137,144,100,65,215,46,82,34,69,0,975
Veracruz,10,459,880,797,489,397,1 357,347,585,243,586,1,6 151
Yucat n,4,213,369,327,239,176,503,116,176,71,142,0,2 336
Zacatecas,6,148,282,206,105,73,220,47,92,24,91,50,1 344
