Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,3,129,170,121,68,55,118,11,37,10,28,0,750
Baja California,14,160,329,261,132,103,317,54,87,40,69,1,1567
Baja California Sur,1,66,123,94,44,51,146,31,40,19,17,0,632
Campeche,1,74,178,149,88,77,221,40,51,16,43,1,939
Coahuila,8,288,444,335,149,121,331,72,83,44,98,4,1977
Colima,3,74,119,103,49,32,130,21,44,19,28,2,624
Chiapas,7,190,558,458,220,267,649,155,190,72,148,4,2918
Chihuahua,13,535,956,779,327,239,849,165,256,99,233,1,4452
Distrito Federal,38,1764,2843,2624,2089,1659,4643,858,1311,549,1040,3,19421
Durango,4,549,622,406,160,130,358,83,120,104,134,1,2671
Guanajuato,27,704,1250,1042,450,383,1026,217,322,173,396,9,5999
Guerrero,12,361,889,800,380,253,795,165,299,163,365,5,4487
Hidalgo,3,423,872,763,450,298,1067,226,386,197,390,1,5076
Jalisco,49,1051,1578,1254,634,528,1507,272,434,194,443,3,7947
M‚xico,50,1782,3234,3167,1971,1523,4319,853,1207,513,934,3,19556
Michoac n,13,423,1009,747,341,261,742,159,254,124,362,1,4436
Morelos,1,226,463,328,198,157,395,74,136,68,175,4,2225
Nayarit,6,117,207,156,71,50,161,39,48,22,67,0,944
Nuevo Le¢n,46,631,934,650,336,326,710,149,186,114,192,0,4274
Oaxaca,10,310,647,621,367,284,920,208,349,244,501,4,4465
Puebla,23,899,1750,1690,1058,958,2313,485,731,333,813,8,11061
Quer‚taro,14,219,307,290,137,131,359,50,108,37,109,0,1761
Quintana Roo,15,231,330,286,120,141,430,71,98,29,78,3,1832
San Luis Potos¡,9,436,842,758,389,248,755,153,279,128,368,4,4369
Sinaloa,8,186,381,237,123,78,304,81,120,56,101,0,1675
Sonora,20,191,234,198,85,45,183,41,63,44,60,0,1164
Tabasco,3,133,312,296,169,143,388,83,98,56,96,0,1777
Tamaulipas,36,371,659,481,246,251,677,129,191,96,185,3,3325
Tlaxcala,5,161,349,321,217,171,393,79,117,69,150,2,2034
Veracruz,26,701,1465,1287,656,547,1739,388,593,292,622,5,8321
Yucat n,16,272,461,426,265,225,464,85,186,77,135,9,2621
Zacatecas,3,144,281,197,98,66,207,53,74,39,100,1,1263
