Estado,Mayor a uno,Uno a Cuatro,Cinco a Nueve,Diez a Catorce,Quince a Diecinueve,Veinte a Veinticuatro,Veinticinco a Cuarentaycuatro,CuarentayCinco a Cuarentaynueve,Cincuenta a Cincuentaynueve,Sesenta a Sesentaycuatro,Mayor a Sesentaycinco,No se reporto la edad,Total
Aguascalientes,7,113,174,143,68,47,138,25,28,13,39,0,795
Baja California,6,227,458,305,168,165,490,108,131,55,127,0,2 240
Baja California Sur,0,58,140,87,59,48,166,41,37,22,26,0,684
Campeche,3,82,140,146,85,85,217,50,72,27,54,2,963
Coahuila,11,287,512,316,169,144,393,94,116,51,98,0,2 191
Colima,1,51,102,77,48,30,101,14,29,27,25,1,506
Chiapas,78,191,526,489,279,250,837,148,212,103,198,4,3 315
Chihuahua,7,418,741,577,265,221,717,165,238,83,202,13,3 647
Distrito Federal,34,1 533,2 356,2 101,1 671,1 322,3 693,792,1 222,411,1 039,0,16 174
Durango,7,492,596,442,261,209,357,93,121,66,120,0,2 764
Guanajuato,24,837,1 383,996,531,375,1 221,235,397,152,523,5,6 679
Guerrero,7,300,801,681,297,225,749,180,304,160,370,4,4 078
Hidalgo,4,384,745,691,398,296,981,223,414,190,452,1,4 779
Jalisco,35,909,1 371,1 008,518,441,1 346,214,379,162,475,1,6 859
M‚xico,41,1 760,3 145,2 832,1 959,1 378,4 324,822,1 198,532,978,3,18 972
Michoac n,18,464,956,696,369,293,833,186,322,147,407,1,4 692
Morelos,3,167,334,288,134,118,355,81,115,61,148,4,1 808
Nayarit,2,114,203,149,65,53,122,35,45,27,69,0,884
Nuevo Le¢n,25,534,891,773,459,359,875,224,287,97,212,1,4 737
Oaxaca,6,332,817,746,430,278,1 011,253,463,232,620,5,5 193
Puebla,22,847,1 687,1 618,984,810,2 219,451,743,316,796,15,10 508
Quer‚taro,3,145,306,205,129,92,324,60,91,45,87,0,1 487
Quintana Roo,5,180,293,268,146,137,427,67,104,33,63,1,1 724
San Luis Potos¡,12,329,632,538,311,227,654,139,260,120,301,0,3 523
Sinaloa,7,187,456,293,94,95,310,95,124,59,152,0,1 872
Sonora,5,396,690,486,225,176,511,150,192,87,176,2,3 096
Tabasco,4,134,271,260,129,125,348,59,110,44,92,0,1 576
Tamaulipas,4,346,655,475,255,184,703,150,192,94,236,2,3 296
Tlaxcala,2,158,273,236,143,100,330,60,104,49,134,1,1 590
Veracruz,15,737,1 499,1 296,722,540,1 767,378,736,344,752,11,8 797
Yucat n,6,260,527,409,303,234,579,146,207,71,218,0,2 960
Zacatecas,0,117,268,203,88,78,215,38,77,38,97,0,1 219
