Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,28,30,45,37,54,73,36,44,55,54,40,34
Baja California,79,97,129,101,89,109,88,93,118,99,66,65
Baja California Sur,30,25,33,26,20,25,29,25,31,31,20,15
Campeche,23,24,53,42,37,56,38,34,33,37,27,32
Coahuila,95,113,175,184,175,181,138,113,132,104,95,75
Colima,19,21,31,18,33,32,28,27,31,29,22,26
Chiapas,75,82,94,99,107,109,74,62,71,83,66,75
Chihuahua,157,176,248,216,219,247,178,178,166,117,92,132
Distrito Federal,474,461,637,519,493,549,477,519,545,399,347,442
Durango,91,78,84,105,126,145,103,91,86,78,75,69
Guanajuato,175,199,309,251,209,309,246,214,289,214,174,195
Guerrero,131,180,232,167,140,198,139,151,187,168,141,107
Hidalgo,94,128,175,142,156,193,147,141,171,128,103,124
Jalisco,301,322,358,262,305,390,310,354,358,270,255,268
M‚xico,527,545,767,622,616,778,609,606,727,548,441,511
Michoac n,127,156,250,193,200,202,154,173,204,130,137,156
Morelos,64,66,97,53,70,102,85,91,76,59,41,45
Nayarit,34,48,58,60,68,72,46,43,37,34,24,32
Nuevo Le¢n,147,155,238,212,282,279,200,180,321,263,139,132
Oaxaca,113,152,202,150,146,262,169,293,171,131,142,145
Puebla,265,265,322,306,308,394,297,321,353,248,249,234
Quer‚taro,36,38,92,46,56,50,50,57,75,40,49,49
Quintana Roo,50,55,71,66,73,110,60,50,69,47,70,78
San Luis Potos¡,138,155,208,174,159,210,150,164,180,160,133,155
Sinaloa,75,56,83,60,90,92,65,81,93,46,50,59
Sonora,124,127,195,203,160,224,175,170,200,125,113,155
Tabasco,38,35,66,51,38,70,50,37,52,28,46,51
Tamaulipas,92,75,131,121,112,178,99,129,118,109,79,87
Tlaxcala,17,46,60,46,40,57,43,46,52,50,31,31
Veracruz,195,202,331,280,265,286,232,236,277,228,189,199
Yucat n,71,92,119,109,119,137,125,129,132,104,67,90
Zacatecas,33,54,55,55,65,92,80,63,64,45,34,40
