Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,31,31,38,53,28,47,55,44,47,33,45,52
Baja California,76,94,75,124,107,126,146,97,125,92,69,117
Baja California Sur,25,21,33,41,48,44,43,32,35,22,25,22
Campeche,37,52,35,68,35,32,49,40,43,36,25,38
Coahuila,68,84,93,147,105,111,135,77,103,84,73,119
Colima,20,16,17,42,33,33,34,24,25,17,18,31
Chiapas,92,102,82,157,108,89,108,91,120,84,67,75
Chihuahua,168,158,160,296,240,206,287,201,218,181,175,167
Distrito Federal,501,559,595,874,561,608,684,614,689,492,493,634
Durango,119,112,93,151,93,134,156,108,142,88,73,74
Guanajuato,217,205,249,382,273,242,353,253,285,201,179,238
Guerrero,107,161,133,235,153,133,187,158,190,150,144,169
Hidalgo,132,163,198,257,199,170,240,153,209,138,148,154
Jalisco,228,288,299,400,340,317,407,302,304,294,193,249
M‚xico,619,640,695,1059,681,740,855,660,783,594,506,712
Michoac n,160,188,191,241,212,184,231,198,236,172,154,205
Morelos,61,75,64,96,81,78,88,65,70,72,60,86
Nayarit,51,45,54,55,37,40,65,47,46,42,42,61
Nuevo Le¢n,107,143,166,263,219,207,229,202,224,171,174,208
Oaxaca,149,181,197,250,186,178,213,161,219,155,152,209
Puebla,303,330,326,549,399,362,486,336,429,324,288,367
Quer‚taro,30,62,52,81,66,56,69,67,65,44,54,69
Quintana Roo,73,80,77,101,73,70,95,57,70,42,47,62
San Luis Potos¡,149,125,174,248,176,194,205,176,185,181,121,187
Sinaloa,57,69,86,118,75,109,121,79,81,77,77,95
Sonora,120,123,132,235,133,172,215,124,178,150,113,145
Tabasco,41,74,63,89,51,51,61,42,60,58,44,55
Tamaulipas,77,109,121,154,177,140,139,138,130,107,91,114
Tlaxcala,39,43,62,79,54,66,71,68,69,52,46,57
Veracruz,260,306,305,473,317,266,351,335,314,258,233,264
Yucat n,89,100,106,147,123,104,124,87,93,89,79,116
Zacatecas,45,47,60,75,42,58,62,62,60,49,45,48
