Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,73,57,81,85,69,66,91,77,65,77,46,34
Baja California,123,121,112,136,115,124,128,98,88,111,41,25
Baja California Sur,32,44,43,55,50,49,67,56,56,51,34,25
Campeche,40,30,30,35,50,26,42,40,31,46,29,18
Coahuila,137,123,137,138,193,142,208,166,159,212,103,85
Colima,35,28,29,37,40,29,35,39,48,42,25,19
Chiapas,114,85,106,88,111,88,126,78,91,93,69,38
Chihuahua,178,127,156,196,223,201,227,113,171,181,124,76
Distrito Federal,643,535,488,498,707,605,695,554,550,681,352,390
Durango,125,114,92,102,145,136,144,118,116,147,86,74
Guanajuato,329,328,325,312,365,321,399,290,261,364,249,184
Guerrero,130,133,130,119,215,156,257,153,130,133,87,78
Hidalgo,163,194,189,145,177,168,226,171,174,176,116,99
Jalisco,372,348,382,376,477,365,439,355,307,372,253,200
M‚xico,838,608,692,668,925,785,963,770,757,942,674,424
Michoac n,249,180,216,186,249,187,257,192,187,199,174,168
Morelos,75,66,69,72,80,58,80,68,65,58,38,39
Nayarit,57,39,50,44,84,50,67,44,51,54,53,30
Nuevo Le¢n,290,204,243,222,314,235,272,266,230,222,142,123
Oaxaca,193,173,194,188,233,167,207,167,171,204,148,133
Puebla,337,299,314,347,391,302,327,286,296,323,224,155
Quer‚taro,54,62,68,90,110,100,111,90,93,78,57,40
Quintana Roo,85,96,88,79,104,77,82,77,82,105,60,55
San Luis Potos¡,204,167,229,187,270,231,254,182,208,255,157,132
Sinaloa,115,107,77,99,129,125,134,113,80,98,78,51
Sonora,217,169,155,185,206,189,219,178,121,180,115,116
Tabasco,53,40,48,49,57,40,61,42,46,56,38,30
Tamaulipas,147,132,144,166,174,173,198,133,143,171,109,99
Tlaxcala,53,34,53,35,36,36,45,43,45,40,31,19
Veracruz,335,269,311,307,320,302,358,232,265,313,195,197
Yucat n,97,122,74,96,130,115,116,119,109,133,97,71
Zacatecas,64,40,76,51,87,74,88,74,64,91,34,25
