Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,61,41,39,44,38,46,70,50,18,43,21,24
Baja California,105,83,71,117,84,92,133,69,76,98,63,64
Baja California Sur,14,27,32,35,28,37,43,44,35,57,26,24
Campeche,43,34,41,38,45,43,48,35,32,42,49,25
Coahuila,110,128,132,102,137,116,141,117,76,116,73,71
Colima,30,18,15,26,24,19,25,12,16,19,13,12
Chiapas,108,131,117,105,100,97,121,63,96,106,82,52
Chihuahua,142,140,138,186,164,166,178,141,126,118,130,142
Distrito Federal,690,658,700,837,686,678,780,618,591,671,505,512
Durango,116,132,129,147,127,161,150,139,112,147,155,67
Guanajuato,293,242,359,376,314,314,341,270,239,253,192,198
Guerrero,157,151,156,216,143,178,205,174,156,203,126,119
Hidalgo,177,194,220,257,185,153,206,218,185,189,159,89
Jalisco,270,263,312,370,272,299,351,272,273,299,214,224
M‚xico,807,713,713,866,746,762,895,656,670,772,550,483
Michoac n,203,187,208,262,229,185,253,214,208,238,171,122
Morelos,87,66,74,101,87,79,96,93,76,74,72,50
Nayarit,58,64,44,59,44,58,60,53,51,57,33,40
Nuevo Le¢n,192,219,219,239,191,165,225,186,185,209,135,133
Oaxaca,195,187,209,279,179,158,257,169,168,209,130,134
Puebla,421,413,388,497,444,405,521,397,438,440,321,283
Quer‚taro,54,60,54,70,61,74,61,52,57,53,39,41
Quintana Roo,62,74,74,64,57,83,89,86,69,79,50,70
San Luis Potos¡,156,167,185,209,168,187,246,164,168,198,127,159
Sinaloa,71,66,57,85,88,105,124,76,86,97,51,56
Sonora,88,140,143,184,143,154,222,143,145,155,108,96
Tabasco,52,55,55,87,76,72,78,67,51,57,55,40
Tamaulipas,112,136,130,181,149,154,221,108,125,152,74,82
Tlaxcala,62,59,56,80,61,71,87,67,72,56,39,51
Veracruz,295,338,399,428,361,390,433,295,309,311,254,202
Yucat n,142,107,114,149,104,105,125,119,118,137,87,69
Zacatecas,55,43,72,84,83,57,79,54,71,54,45,38
