Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,44,36,30,46,45,39,45,53,35,44,22,34
Baja California,110,88,81,95,105,117,114,116,111,128,93,72
Baja California Sur,31,26,35,38,40,42,32,55,38,37,15,25
Campeche,44,29,34,45,65,38,43,65,35,52,33,34
Coahuila,97,81,104,98,142,166,87,135,119,113,84,87
Colima,21,24,30,19,31,35,29,30,14,28,13,17
Chiapas,156,142,147,117,187,108,104,153,240,214,95,75
Chihuahua,160,146,161,225,283,225,152,235,176,161,134,143
Distrito Federal,822,720,800,786,1082,865,785,917,713,868,531,513
Durango,164,150,97,156,185,159,150,177,96,147,117,77
Guanajuato,333,268,345,284,386,291,290,403,331,337,251,251
Guerrero,166,131,191,167,242,186,161,211,186,236,166,125
Hidalgo,227,215,256,237,315,244,200,232,180,251,151,103
Jalisco,411,347,375,357,406,311,362,372,375,405,289,216
M‚xico,944,812,836,824,1250,938,854,983,813,914,643,545
Michoac n,230,192,247,239,251,216,188,270,207,270,180,129
Morelos,71,77,76,78,101,91,95,86,93,98,68,45
Nayarit,46,33,43,46,46,55,33,46,43,55,29,26
Nuevo Le¢n,205,213,235,223,234,245,234,336,224,262,164,130
Oaxaca,210,254,214,229,303,242,198,301,189,229,159,154
Puebla,500,433,463,479,660,418,464,587,486,541,358,327
Quer‚taro,54,70,75,87,114,72,59,75,76,73,39,54
Quintana Roo,98,80,85,74,136,91,74,90,65,78,52,67
San Luis Potos¡,177,126,177,182,220,160,155,226,144,185,122,88
Sinaloa,52,77,94,91,110,94,77,96,92,92,66,54
Sonora,158,135,158,171,206,192,189,185,124,134,111,67
Tabasco,72,67,88,89,88,94,61,91,75,94,60,45
Tamaulipas,137,116,148,164,223,154,130,192,133,141,95,56
Tlaxcala,65,57,65,69,100,72,66,102,66,60,64,36
Veracruz,398,396,447,467,513,369,361,441,307,389,258,249
Yucat n,153,126,135,137,207,151,128,168,120,139,104,87
Zacatecas,59,59,81,68,69,71,53,75,59,66,57,28
