Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,48,37,49,50,50,66,60,75,66,47,44,56
Baja California,81,80,114,76,77,124,114,143,112,110,99,83
Baja California Sur,16,30,42,38,33,33,32,47,38,32,34,13
Campeche,41,42,50,33,32,39,39,50,37,31,43,31
Coahuila,91,99,145,123,150,183,138,139,103,138,125,91
Colima,31,26,49,29,29,54,24,34,32,25,36,12
Chiapas,96,79,125,98,77,114,82,88,71,77,80,67
Chihuahua,140,159,197,158,154,231,200,233,154,144,161,79
Distrito Federal,465,435,667,537,542,664,571,605,485,479,540,409
Durango,82,77,153,108,121,146,139,137,76,102,99,56
Guanajuato,214,220,323,278,262,328,272,319,256,258,296,227
Guerrero,113,116,180,130,140,183,127,165,107,103,126,86
Hidalgo,100,130,221,149,160,213,163,202,144,134,168,97
Jalisco,272,283,424,380,369,417,359,416,309,300,336,323
M‚xico,584,559,839,629,618,778,667,800,595,541,747,445
Michoac n,149,176,244,184,195,249,199,245,199,185,229,152
Morelos,46,59,83,79,58,60,81,103,59,59,70,57
Nayarit,50,41,41,39,54,58,63,75,49,52,98,61
Nuevo Le¢n,161,164,231,190,217,287,302,316,247,225,243,138
Oaxaca,137,149,305,177,181,213,193,212,195,153,194,141
Puebla,226,293,363,264,277,338,291,371,274,269,329,184
Quer‚taro,34,47,69,76,66,69,51,95,67,56,56,52
Quintana Roo,79,65,91,75,65,70,66,69,64,57,80,54
San Luis Potos¡,166,154,264,176,154,200,179,234,199,182,181,154
Sinaloa,67,89,71,77,100,138,103,108,87,88,95,54
Sonora,97,129,247,148,179,232,192,205,158,121,169,103
Tabasco,43,51,58,47,46,37,38,51,41,32,47,47
Tamaulipas,95,79,157,125,129,168,134,185,109,103,116,90
Tlaxcala,35,33,45,33,47,38,44,63,53,38,50,31
Veracruz,172,221,328,298,309,318,254,289,188,228,279,222
Yucat n,97,116,164,121,118,137,105,137,107,99,116,104
Zacatecas,42,44,76,47,71,82,79,71,49,65,64,54
