Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,34,49,56,43,33,82,53,51,51,48,23,42
Baja California,102,107,115,103,91,119,85,81,84,64,70,45
Baja California Sur,19,28,29,34,27,30,30,21,48,18,10,30
Campeche,33,42,35,25,33,33,29,24,47,27,22,27
Coahuila,97,115,156,120,117,173,138,100,110,93,83,106
Colima,26,34,28,21,22,25,22,10,26,13,17,20
Chiapas,65,83,129,105,120,97,80,92,106,82,58,102
Chihuahua,172,146,233,199,217,304,230,226,234,155,145,184
Distrito Federal,605,522,738,571,549,588,595,499,558,443,435,474
Durango,85,112,136,114,146,135,99,124,96,75,87,67
Guanajuato,181,223,351,201,244,295,220,228,253,198,189,210
Guerrero,105,154,236,164,166,213,208,173,172,160,170,140
Hidalgo,139,157,223,159,154,178,139,132,147,134,112,107
Jalisco,332,364,375,340,327,391,302,282,337,233,223,223
M‚xico,657,655,752,618,564,717,551,552,737,549,457,403
Michoac n,177,164,258,184,179,220,159,185,179,155,137,136
Morelos,69,77,94,59,56,87,62,88,83,86,52,73
Nayarit,79,82,82,56,70,80,59,44,51,34,35,32
Nuevo Le¢n,139,148,261,211,205,310,223,214,184,139,135,117
Oaxaca,137,164,264,184,185,238,153,153,205,158,149,157
Puebla,289,312,465,381,322,387,299,280,359,280,221,227
Quer‚taro,51,44,63,51,56,50,47,45,48,42,47,32
Quintana Roo,60,58,75,56,83,66,61,55,73,73,60,61
San Luis Potos¡,160,183,254,187,173,187,179,147,161,115,102,142
Sinaloa,68,73,88,73,78,81,97,73,68,78,44,61
Sonora,122,134,168,149,152,207,163,162,141,80,91,111
Tabasco,47,62,73,67,32,49,39,36,48,47,41,34
Tamaulipas,100,116,159,99,123,188,147,123,104,83,81,61
Tlaxcala,38,59,72,45,42,61,40,46,68,33,35,34
Veracruz,235,281,402,317,291,364,253,270,257,208,187,207
Yucat n,71,115,161,114,100,127,91,87,101,76,58,84
Zacatecas,58,40,79,42,49,63,71,52,66,29,31,46
