Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,32,23,49,51,42,39,44,52,50,46,39,35
Baja California,48,49,96,53,82,99,92,84,65,77,90,47
Baja California Sur,15,18,28,21,29,30,22,39,33,19,21,18
Campeche,31,33,43,37,37,40,29,33,31,12,34,25
Coahuila,81,58,116,102,97,126,99,92,72,70,78,59
Colima,36,19,29,24,19,28,24,22,27,23,24,10
Chiapas,65,67,87,76,68,114,72,67,77,66,56,38
Chihuahua,127,105,152,100,96,168,186,167,119,110,114,70
Distrito Federal,373,368,543,441,440,462,412,540,397,376,435,325
Durango,41,58,104,65,79,101,83,105,85,56,66,42
Guanajuato,122,177,209,188,172,227,173,246,225,202,202,156
Guerrero,77,94,178,113,135,167,114,107,94,87,115,85
Hidalgo,78,96,189,124,167,196,144,164,119,130,139,103
Jalisco,188,192,261,296,221,320,240,247,219,196,219,190
M ‚xico,406,445,679,514,562,717,570,711,504,481,594,402
M ichoac n,122,157,209,152,128,184,134,186,198,115,158,108
M orelos,46,52,55,60,49,70,62,67,49,42,64,32
Nayarit,23,49,38,23,43,51,43,49,29,25,62,51
Nuevo Le¢n,116,154,197,159,169,222,218,238,163,164,211,128
Oaxaca,122,181,270,157,168,232,162,201,188,155,188,135
Puebla,187,275,396,240,266,304,235,331,253,269,281,180
Quer‚taro,32,39,62,49,44,51,40,51,56,34,50,31
Quintana Roo,70,53,65,57,44,61,54,57,53,50,61,36
San Luis Potos¡,133,145,187,161,131,204,143,195,146,165,142,111
Sinaloa,48,79,88,78,83,131,88,94,89,100,62,64
Sonora,71,97,153,119,120,166,153,147,94,123,118,82
Tabasco,39,35,61,27,37,47,30,53,30,27,43,29
Tamaulipas,59,63,131,126,115,156,112,164,100,97,111,65
Tlaxcala,22,27,39,26,32,32,37,51,35,24,40,38
Veracruz,160,226,324,273,231,308,220,250,167,187,273,150
Yucat n,76,102,140,83,100,127,81,98,73,86,97,91
Zacatecas,22,40,62,26,38,48,36,42,28,28,32,35
