Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,14,20,33,29,37,47,32,33,36,38,23,39
Baja California,58,69,78,57,60,74,82,73,80,64,52,50
Baja California Sur,13,24,25,20,13,23,21,26,19,14,25,18
Campeche,11,25,30,34,40,43,25,32,30,17,31,23
Coahuila,85,83,111,114,105,138,92,68,102,64,65,68
Colima,9,22,33,19,23,27,23,19,32,18,15,25
Chiapas,50,64,72,78,78,89,75,52,67,75,40,62
Chihuahua,112,127,184,191,173,186,125,106,134,94,64,76
Distrito Federal,374,350,500,451,412,503,348,369,414,353,312,345
Durango,56,42,73,64,75,100,59,71,84,57,56,27
Guanajuato,132,159,238,201,212,235,178,167,184,176,123,154
Guerrero,130,167,227,135,138,160,138,143,186,118,136,74
Hidalgo,75,119,154,135,120,170,148,123,161,111,101,92
Jalisco,173,189,262,202,209,251,194,219,245,154,188,157
M ‚xico,461,441,651,542,511,688,489,527,580,515,405,431
M ichoac n,88,105,196,144,167,179,120,148,167,85,105,111
M orelos,43,51,72,48,43,70,69,63,68,60,42,44
Nayarit,21,34,46,40,35,33,24,37,36,27,21,28
Nuevo Le¢n,136,106,180,155,238,194,158,163,274,256,107,136
Oaxaca,116,182,221,145,139,223,177,171,189,140,123,163
Puebla,226,229,318,246,292,317,280,265,309,236,190,196
Quer‚taro,39,31,68,30,48,47,33,31,63,33,30,40
Quintana Roo,40,41,57,61,42,74,41,47,37,45,56,59
San Luis Potos¡,115,85,178,122,131,205,130,131,167,154,108,137
Sinaloa,45,34,75,40,73,89,72,58,71,38,40,36
Sonora,76,80,114,115,106,191,160,128,151,96,72,112
Tabasco,42,25,47,34,42,43,53,36,42,39,37,40
Tamaulipas,88,87,96,147,111,146,120,112,90,77,65,78
Tlaxcala,27,30,55,54,50,66,59,47,60,30,26,34
Veracruz,190,172,284,204,227,274,237,219,232,193,190,221
Yucat n,57,75,100,102,106,153,83,68,96,81,59,59
Zacatecas,21,31,53,50,39,56,38,48,58,28,31,30
