Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,36,28,21,20,44,35,31,22,24,29,13,19
Baja California,66,85,64,76,93,93,92,93,96,115,83,54
Baja California Sur,22,30,21,25,18,36,18,28,20,19,18,15
Campeche,56,32,51,32,42,29,41,47,24,42,22,28
Coahuila,74,62,61,75,104,91,60,72,72,71,60,76
Colima,16,8,19,21,26,28,15,18,10,28,12,14
Chiapas,136,126,136,109,174,138,102,168,179,163,86,60
Chihuahua,101,106,103,125,172,158,112,129,117,130,92,101
Distrito Federal,625,561,539,594,750,582,552,616,548,591,461,353
Durango,104,89,79,82,115,108,97,113,69,99,84,50
Guanajuato,244,193,253,214,335,248,203,278,243,320,196,182
Guerrero,145,135,166,168,216,165,145,190,141,202,148,89
Hidalgo,163,163,208,182,274,199,151,252,161,190,126,99
Jalisco,232,199,242,219,262,229,217,241,226,243,201,122
M‚xico,772,647,692,714,990,807,679,822,699,797,570,427
Michoac n,176,162,185,164,191,168,158,222,183,201,171,92
Morelos,55,57,75,71,82,82,74,87,83,70,59,34
Nayarit,26,37,22,40,41,27,23,50,26,44,27,20
Nuevo Le¢n,160,155,169,148,193,184,161,253,162,213,144,90
Oaxaca,222,191,201,200,330,233,184,248,184,238,133,147
Puebla,350,404,394,400,546,374,370,483,433,449,291,298
Quer‚taro,54,43,75,55,73,60,46,52,50,60,46,25
Quintana Roo,71,50,69,51,77,60,83,67,69,52,57,28
San Luis Potos¡,109,103,144,164,200,128,106,161,99,147,105,95
Sinaloa,61,76,68,59,93,86,74,79,86,86,57,52
Sonora,93,100,131,96,139,124,138,121,86,91,86,61
Tabasco,52,64,53,68,67,58,40,62,55,58,44,31
Tamaulipas,146,99,147,149,204,139,139,171,111,144,95,63
Tlaxcala,76,63,57,64,91,77,51,94,66,52,33,44
Veracruz,384,323,412,394,486,334,314,389,306,357,248,255
Yucat n,125,101,104,92,145,145,94,120,99,119,79,82
Zacatecas,38,31,44,29,54,46,38,45,39,48,40,22
