Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,28,19,24,25,31,37,20,40,20,20,18,15
Baja California,57,35,75,52,91,52,73,110,69,86,83,49
Baja California Sur,9,21,25,12,22,39,25,17,17,28,18,26
Campeche,24,41,50,32,45,37,30,39,18,35,48,48
Coahuila,54,46,84,43,91,74,77,63,47,59,70,51
Colima,21,20,18,20,28,33,27,35,26,29,21,16
Chiapas,85,128,187,126,145,143,76,104,70,91,99,70
Chihuahua,109,147,143,118,149,166,133,152,116,111,167,99
Distrito Federal,568,637,833,735,854,639,646,743,544,499,650,407
Durango,83,77,102,81,118,97,101,102,84,110,106,42
Guanajuato,153,222,277,230,279,226,188,263,208,210,244,150
Guerrero,123,151,199,175,190,164,160,193,161,152,163,107
Hidalgo,137,180,236,188,230,167,162,205,187,159,198,136
Jalisco,219,251,276,225,317,213,247,279,208,178,216,135
M‚xico,687,657,813,722,851,770,659,779,600,562,662,409
Michoac n,148,137,175,159,231,178,141,199,191,170,183,121
Morelos,75,69,101,84,84,76,75,90,79,98,62,50
Nayarit,33,26,44,36,41,36,40,36,25,27,41,23
Nuevo Le¢n,84,105,218,144,192,197,175,208,154,144,145,112
Oaxaca,116,178,227,223,264,217,162,227,158,170,203,146
Puebla,348,389,515,471,553,399,340,484,407,383,401,306
Quer‚taro,52,51,63,56,76,56,57,54,43,50,41,38
Quintana Roo,43,54,70,53,62,73,55,52,53,67,64,44
San Luis Potos¡,126,122,191,155,195,141,139,160,139,146,161,97
Sinaloa,58,47,76,68,108,93,63,98,72,67,72,54
Sonora,24,37,52,41,76,55,62,111,100,96,90,75
Tabasco,50,59,92,73,60,48,57,76,64,62,69,36
Tamaulipas,94,101,108,123,153,137,115,146,134,117,134,68
Tlaxcala,50,71,93,82,89,74,60,93,61,62,64,41
Veracruz,257,293,427,370,472,340,294,369,359,287,310,220
Yucat n,99,102,162,138,136,103,94,138,102,97,93,58
Zacatecas,32,35,37,42,42,38,35,62,93,51,38,31
