Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,36,14,49,42,65,62,43,48,73,44,49,32
Baja California,71,69,75,56,64,75,47,77,57,73,64,44
Baja California Sur,24,18,26,24,13,31,19,39,22,15,22,19
Campeche,25,25,37,29,37,45,20,22,21,23,32,18
Coahuila,73,93,121,139,110,138,119,138,112,105,107,62
Colima,24,30,29,32,28,29,21,25,15,22,24,19
Chiapas,57,58,78,64,70,96,75,69,62,63,85,37
Chihuahua,81,100,90,76,96,149,121,131,76,67,93,58
Distrito Federal,473,486,615,561,547,684,476,612,519,535,594,372
Durango,66,94,118,82,91,153,113,127,86,98,88,74
Guanajuato,144,152,219,173,210,252,218,221,224,196,219,131
Guerrero,60,118,131,106,98,135,106,135,104,87,105,57
Hidalgo,96,140,172,160,179,179,141,153,134,134,166,108
Jalisco,183,211,351,267,206,296,269,294,202,199,234,172
M‚xico,468,550,741,696,593,768,627,707,555,540,633,343
Michoac n,122,124,205,142,156,172,112,185,109,101,143,81
Morelos,42,73,84,73,79,105,57,71,56,58,54,48
Nayarit,24,29,41,37,25,36,35,36,27,20,32,27
Nuevo Le¢n,103,168,248,177,196,237,205,286,163,177,184,119
Oaxaca,145,141,229,159,122,182,119,171,142,138,164,120
Puebla,187,200,296,289,275,308,214,272,201,235,274,179
Quer‚taro,38,51,75,60,69,79,66,65,60,67,85,41
Quintana Roo,42,60,75,71,60,82,68,67,56,51,50,57
San Luis Potos¡,131,124,209,196,193,195,169,218,152,171,189,109
Sinaloa,47,69,99,64,72,116,69,103,58,68,71,49
Sonora,89,87,150,138,89,170,107,147,118,86,73,58
Tabasco,32,35,42,45,36,42,37,38,31,28,29,11
Tamaulipas,85,98,151,140,168,185,137,121,99,113,110,64
Tlaxcala,34,36,56,39,42,58,46,37,37,33,32,25
Veracruz,144,205,223,190,201,267,178,226,163,127,185,102
Yucat n,100,85,150,95,115,121,119,82,80,89,101,80
Zacatecas,27,43,81,37,39,68,57,62,36,35,60,36
