Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,10,16,28,22,31,39,14,41,16,18,25,14
Baja California,44,54,81,65,49,65,68,69,53,50,52,45
Baja California Sur,14,13,26,16,23,26,18,27,23,15,20,17
Campeche,23,36,46,32,37,35,30,33,32,30,40,27
Coahuila,44,58,75,73,87,88,75,76,52,57,57,40
Colima,18,24,26,20,22,24,21,21,19,21,26,20
Chiapas,102,78,181,110,115,123,96,128,101,111,101,115
Chihuahua,119,143,209,164,145,220,165,177,121,124,141,104
Distrito Federal,560,643,902,682,710,864,661,796,622,657,680,394
Durango,69,94,123,110,78,108,79,113,69,98,97,40
Guanajuato,137,204,330,177,193,279,222,280,196,212,216,152
Guerrero,116,155,223,170,211,250,179,195,178,145,173,97
Hidalgo,134,150,276,167,170,237,187,238,194,173,225,125
Jalisco,238,233,342,235,241,327,225,281,233,217,271,152
M‚xico,641,636,965,746,719,986,691,823,701,674,752,373
Michoac n,118,159,211,167,178,207,125,176,158,151,207,118
Morelos,56,61,103,94,86,75,72,120,89,70,78,55
Nayarit,28,32,44,29,29,45,32,39,32,36,30,24
Nuevo Le¢n,104,112,191,156,125,183,167,166,135,144,176,73
Oaxaca,117,178,249,184,200,240,160,223,201,195,176,118
Puebla,346,337,519,407,447,552,399,519,440,412,432,260
Quer‚taro,58,48,81,68,67,81,69,45,65,55,58,52
Quintana Roo,42,53,86,40,58,79,48,76,50,69,63,55
San Luis Potos¡,129,144,217,193,167,202,152,206,134,135,133,111
Sinaloa,31,42,59,48,65,78,58,74,63,63,67,71
Sonora,45,41,110,63,53,49,24,54,9,18,11,13
Tabasco,82,61,98,56,58,87,59,75,52,64,54,37
Tamaulipas,91,93,145,129,100,176,141,163,126,195,188,117
Tlaxcala,61,73,117,80,81,101,77,73,91,86,76,49
Veracruz,269,306,465,346,325,424,316,373,296,295,289,175
Yucat n,64,64,105,72,108,105,72,132,92,106,109,61
Zacatecas,40,43,58,39,50,63,50,54,50,34,41,26
